"","partner","Hosts","IDPs","Refugees"
"1","nalBa",0.0667,0,0.0248
"2","ionBa",0.0165,0,0.0736
"3","undBu",0.0098,0.0394,0
"4","mesBu",0.0088,0.0352,0
"5","nalCA",0.0755,0.0045,0
"6","SOSCA",0.0733,0.0011,0
"7","SOSCo",0.0036,0.0223,0.0093
"8","mesCo",0.0065,0.0362,0
"9","undEt",0.1207,0.0171,0
"10","renEt",0.0507,0.0789,0
"11","renSo",0.0309,0.054,0
"12","ionSo",0.0647,0.0758,0
