"Partner","Hosts","IDPs","Refugees"
"nalBa",295,0,99
"ionBa",111,0,342
"undBu",383,354,0
"mesBu",145,138,0
"nalCA",0,656,0
"SOSCA",189,191,0
"SOSCo",106,127,142
"mesCo",71,69,3
"undEt",145,118,0
"renEt",379,377,1
"renSo",345,110,22
"ionSo",259,94,12
"Total",2428,2234,621
