"partner","Hosts","IDPs","Refugees"
"nalBa",26082,0,9690
"ionBa",6453,0,28811
"undBu",3850,15400,0
"mesBu",3444,13776,0
"nalCA",29553,1772,0
"SOSCA",28683,437,0
"SOSCo",1424,8727,3619
"mesCo",2537,14181,0
"undEt",47209,6700,0
"renEt",19832,30874,0
"renSo",12104,21110,0
"ionSo",25300,29640,0
"Total",206471,142617,42120
